===> item
1 BA3FLPR02
2 BA3FLPR03
3 BA3FLPR05
4 BA3FLPR07
5 BA3MRK17063A
6 BA3MRU17065A
7 BA3MRK17064A
8 BA3MRK17066A
9 BA3ORU17068A
10 BA3MVK17071A
11 BA3MRK17069A
12 BA3MGK11117
13 BA5MRK1717A
14 BA5MRU1713A
15 BA5MRU1718A
16 BA5MRU1719A
17 BA5ORA1715A
18 BA5SRA1720A
19 BA5MRU1733A
20 BA5MRK1734A
21 BA5MRK1737A
22 BA5MRA1739A
23 BA5ORA1735A
24 BA5MVK1731A
25 BA5MRK15131A
26 BA5MRK15132A
27 BA5MRK15133A
28 BA5MRU15134A
29 BA5MRH15084A
30 BA5MRU15127A
31 BA5MRK15126A
32 BA5MRK15128A
33 BA5MGA15100A
34 BA5MGA15010A
35 BA5MRK1752A
36 BA5MRK1757A
37 BA5MRU1758A
38 BA5SRA1760A
39 BA5MVA1756A
40 BA5MVK1751A
