===> item
1 L2_1_L3_21
2 L2_2_L3_22
3 L2_3_L3_24
4 L2_4_L3_23
5 L1_4_L2_5
6 L1_5_L2_6
7 L1_6_L2_7
8 2022_L2Q07
9 2022_L2Q09
10 2022_L2Q10
11 L2_11
12 L1_28_L2_12
13 2022_L2Q08
14 2022_L2Q13
15 2022_L2Q14
16 2022_L2Q03
17 2022_L2Q04
18 L2_18_L3_20
19 2022_L2Q17
20 L1_18_L2_20
21 L1_19_L2_21
22 2022_L1Q12
23 2022_L1Q13
24 2022_L3Q17
25 L2_25_L3_28
26 2022_L2Q25
27 2022_L2Q26
28 2022_L2Q27
